theta,theta_over_pi,arrow_strength,monotonicity,sz_k0,S_k0,sz_k1,S_k1,sz_k2,S_k2,sz_k3,S_k3,sz_k4,S_k4,sz_k5,S_k5,sz_k6,S_k6,sz_k7,S_k7,sz_k8,S_k8,sz_k9,S_k9,sz_k10,S_k10,sz_k11,S_k11,sz_k12,S_k12,sz_k13,S_k13,sz_k14,S_k14,sz_k15,S_k15,sz_k16,S_k16,sz_k17,S_k17,sz_k18,S_k18,sz_k19,S_k19,sz_k20,S_k20,sz_k21,S_k21,sz_k22,S_k22,sz_k23,S_k23,sz_k24,S_k24,sz_k25,S_k25,sz_k26,S_k26,sz_k27,S_k27,sz_k28,S_k28,sz_k29,S_k29
0.000000,0.000000,0.99953342,1.00000000,1.00000000,0.00000000,0.97693454,0.01188540,0.90933411,0.03853701,0.80184933,0.07463286,0.66178755,0.11712718,0.49849308,0.16376018,0.32256633,0.21271556,0.14499691,0.26248835,-0.02370672,0.31182364,-0.17431077,0.35968443,-0.29950230,0.40523259,-0.39433457,0.44781530,-0.45644028,0.48695346,-0.48600576,0.52232982,-0.48552342,0.55377589,-0.45936113,0.58125709,-0.41320320,0.60485609,-0.35342713,0.62475445,-0.28648243,0.64121293,-0.21833221,0.65455125,-0.15400719,0.66512765,-0.09730508,0.67331939,-0.05064993,0.67950472,-0.01510720,0.68404719,0.00946667,0.68728298,0.02417401,0.68951145,0.03076686,0.69098944,0.03132261,0.69192893,0.02794467,0.69249791,0.02251995,0.69282377
0.062832,0.020000,0.99180085,1.00000000,0.99900591,0.00416860,0.97614212,0.00494343,0.90564397,0.02761673,0.79261993,0.06342120,0.64553698,0.10799848,0.47534170,0.15807577,0.29426814,0.21092858,0.11453450,0.26429484,-0.05285073,0.31637759,-0.19899566,0.36584672,-0.31765156,0.41181230,-0.40535733,0.45376846,-0.46127063,0.49151739,-0.48678864,0.52508661,-0.48506233,0.55465087,-0.45814166,0.58209541,-0.40771080,0.60697763,-0.34216372,0.62754451,-0.26917159,0.64406603,-0.19572415,0.65697601,-0.12747468,0.66680600,-0.06838870,0.67411903,-0.02068781,0.67945461,0.01497589,0.68329129,0.03920291,0.68602705,0.05347054,0.68797470,0.05976150,0.68936779,0.06023722,0.69037254,0.05697616,0.69110241,0.05178446,0.69163257
0.125664,0.040000,0.97408961,0.96551724,0.99590201,0.01435403,0.97330630,0.00380734,0.89989336,0.01983643,0.78129579,0.05435035,0.62728980,0.10060788,0.45057018,0.15394460,0.26504250,0.21051514,0.08403150,0.26720366,-0.08119609,0.32167415,-0.22233935,0.37237042,-0.33435012,0.41843499,-0.41521524,0.45956939,-0.46543019,0.49587243,-0.48735719,0.52768712,-0.48460803,0.55547406,-0.45681307,0.58298736,-0.40166505,0.60919247,-0.32981693,0.63036394,-0.25041305,0.64680577,-0.17160492,0.65911531,-0.09965230,0.66804354,-0.03856925,0.67436435,0.00976704,0.67878016,0.04522076,0.68187068,0.06889204,0.68407773,0.08262725,0.68571387,0.08861023,0.68698340,0.08905404,0.68800784,0.08598666,0.68885105,0.08111499,0.68954150
0.188496,0.060000,0.94810943,0.96551724,0.99049664,0.02938067,0.96823429,0.00945915,0.89190801,0.01617465,0.76774606,0.04789931,0.60698767,0.09520837,0.42420907,0.15148689,0.23499120,0.21150150,0.05360611,0.27117734,-0.10867378,0.32764722,-0.24435892,0.37919535,-0.34968782,0.42506816,-0.42401989,0.46521594,-0.46900025,0.50003423,-0.48774217,0.53014764,-0.48416070,0.55625137,-0.45535804,0.58394007,-0.39498052,0.61150854,-0.31624610,0.63320461,-0.23007318,0.64940405,-0.14590796,0.66093065,-0.07056047,0.66880548,-0.00793390,0.67403431,0.04059723,0.67747695,0.07550950,0.67979534,0.09842906,0.68145522,0.11155193,0.68275514,0.11722706,0.68386453,0.11768598,0.68486108,0.11488271,0.68576372,0.11040935,0.68656004
0.251327,0.080000,0.91472243,0.93103448,0.98258699,0.04866764,0.96072080,0.02069710,0.88150511,0.01748473,0.75183972,0.04455222,0.58458111,0.09203909,0.39630179,0.15080307,0.20422378,0.21389724,0.02337365,0.27616989,-0.13522435,0.33423137,-0.26507757,0.38626754,-0.36375010,0.43168558,-0.43187038,0.47070869,-0.47204996,0.50401755,-0.48796893,0.53248252,-0.48372027,0.55698789,-0.45375551,0.58496194,-0.38755460,0.61393405,-0.30128869,0.63605482,-0.20800827,0.65182681,-0.11857371,0.66237862,-0.04023541,0.66905500,0.02341719,0.67310800,0.07168118,0.67554137,0.10572842,0.67707571,0.12771866,0.67817969,0.14016504,0.67912472,0.14554040,0.68004018,0.14606161,0.68096080,0.14358748,0.68186490,0.13958239,0.68270492
0.314159,0.100000,0.87455579,0.93103448,0.97196092,0.07180218,0.95054969,0.03657886,0.86849542,0.02395307,0.73344830,0.04470993,0.56003235,0.09130319,0.36690601,0.15196755,0.17285734,0.21769474,-0.00655376,0.28212814,-0.16079708,0.34136267,-0.28452298,0.39353892,-0.37661752,0.43826639,-0.43885459,0.47605021,-0.47463833,0.50783627,-0.48805837,0.53470442,-0.48328654,0.55768807,-0.45197970,0.58606284,-0.37926315,0.61647731,-0.28475685,0.63889810,-0.18406561,0.65403284,-0.08955352,0.66341057,-0.00873203,0.66875343,0.05537017,0.67156493,0.10289352,0.67297070,0.13576830,0.67372266,0.15667468,0.67427122,0.16839840,0.67484851,0.17349121,0.67553952,0.17412301,0.67633684,0.17203849,0.67718211,0.16856375,0.67799807
0.376991,0.120000,0.82815013,0.89655172,0.95839989,0.09843507,0.93749663,0.05654209,0.85268630,0.03515330,0.71244952,0.04859092,0.53331838,0.09314550,0.33609510,0.15502382,0.14101633,0.22286940,-0.03606750,0.28899309,-0.18534907,0.34897946,-0.30272602,0.40096697,-0.38836541,0.44479416,-0.44505032,0.48124454,-0.47681581,0.51150332,-0.48802781,0.53682455,-0.48285919,0.55835579,-0.44999867,0.58725454,-0.36995509,0.61914640,-0.26643366,0.64171176,-0.15808569,0.65597259,-0.05881465,0.66397230,0.02387276,0.66786052,0.08779690,0.66938521,0.13410560,0.66976319,0.16552453,0.66974748,0.18521956,0.66974967,0.19619399,0.66995194,0.20103136,0.67039138,0.20182389,0.67101945,0.20018557,0.67174464,0.19729592,0.67246500
0.439823,0.140000,0.77602438,0.79310345,0.94168285,0.12823436,0.92133282,0.08016638,0.83388583,0.05052114,0.68873159,0.05618990,0.50443441,0.09763641,0.30395946,0.15998170,0.10883224,0.22938062,-0.06506269,0.29670128,-0.20884449,0.35702281,-0.31971962,0.40851434,-0.39906379,0.45125625,-0.45052642,0.48629673,-0.47862558,0.51503075,-0.48789164,0.53885292,-0.48243780,0.55899444,-0.44777246,0.58855113,-0.35944517,0.62194858,-0.24606913,0.64446499,-0.12990590,0.65758672,-0.02634630,0.66400389,0.05747681,0.66633479,0.12055459,0.66654990,0.16518603,0.66591818,0.19489721,0.66516187,0.21328361,0.66463462,0.22350272,0.66445974,0.22812209,0.66462391,0.22912780,0.66503864,0.22798905,0.66558252,0.22573238,0.66613347
0.502655,0.160000,0.71871222,0.68965517,0.92159157,0.16085906,0.90183015,0.10707977,0.81190808,0.06955589,0.66219838,0.06732012,0.47339754,0.10476673,0.27060769,0.16681708,0.07644306,0.23717318,-0.09343839,0.30518610,-0.23125370,0.36543698,-0.33553782,0.41614837,-0.40877739,0.45764311,-0.45534374,0.49121252,-0.48010466,0.51842972,-0.48766184,0.54079842,-0.48202193,0.55960706,-0.44525041,0.58996963,-0.34750469,0.62488947,-0.22337626,0.64711632,-0.09936628,0.65880455,0.00783290,0.66343966,0.09194925,0.66413400,0.15348563,0.66304133,0.19600128,0.66143618,0.22379119,0.65997795,0.24080443,0.65894532,0.25028331,0.65839576,0.25473266,0.65826420,0.25600665,0.65842364,0.25541812,0.65872574,0.25383604,0.65903241
0.565487,0.180000,0.65678577,0.58620690,0.89791747,0.19594186,0.87876794,0.13691536,0.78657992,0.09182069,0.63277553,0.08169085,0.44025064,0.11445412,0.23616753,0.17547386,0.04399279,0.24617918,-0.12109778,0.31437898,-0.25255249,0.37416956,-0.35021502,0.42384063,-0.41756573,0.46394777,-0.45955603,0.49599809,-0.48128483,0.52171060,-0.48734835,0.54266906,-0.48161108,0.56019631,-0.44236751,0.59153077,-0.33384926,0.62797161,-0.19802785,0.64961038,-0.06631820,0.65954240,0.04366613,0.66220833,0.12712726,0.66121582,0.18641778,0.65884347,0.22641636,0.65631906,0.25211608,0.65420826,0.26772619,0.65270058,0.27650132,0.65178290,0.28083910,0.65133813,0.28243936,0.65120255,0.28244944,0.65120369,0.28157777,0.65119106
0.628319,0.200000,0.59087187,0.55172414,0.87047004,0.23307718,0.85194150,0.16928686,0.75774924,0.11690845,0.60041728,0.09896670,0.40506622,0.12655680,0.20078666,0.18586758,0.01163068,0.25632006,-0.14794829,0.32421048,-0.27272142,0.38317162,-0.36378534,0.43156652,-0.42548334,0.47016539,-0.46321069,0.50065988,-0.48219338,0.52488295,-0.48695947,0.54447202,-0.48120472,0.56076459,-0.43903896,0.59326005,-0.31812269,0.63119225,-0.16965485,0.65187375,-0.03063696,0.65970199,0.08104823,0.66023353,0.16281309,0.65753853,0.21916472,0.65394235,0.25629550,0.65057015,0.27978618,0.64786579,0.29399904,0.64591879,0.30212809,0.64464296,0.30642309,0.64387014,0.30841065,0.64340202,0.30906590,0.64304462,0.30893517,0.64263835
0.691150,0.220000,0.52166303,0.51724138,0.83908712,0.27181314,0.82117261,0.20377338,0.72529473,0.14441491,0.56511406,0.11879665,0.36795030,0.14088922,0.16463293,0.19789000,-0.02048959,0.26750871,-0.17390170,0.33461113,-0.29174508,0.39239770,-0.37628213,0.43930485,-0.43257989,0.47629285,-0.46634947,0.50520445,-0.48285371,0.52795569,-0.48650207,0.54621378,-0.48080233,0.56131405,-0.43515239,0.59518915,-0.29987585,0.63453988,-0.13784812,0.65380966,0.00776075,0.65916899,0.11981436,0.65743465,0.19877168,0.65306201,0.25152694,0.64832654,0.28550297,0.64419442,0.30672040,0.64096401,0.31957841,0.63861786,0.32713997,0.63699663,0.33147107,0.63588318,0.33391007,0.63504709,0.33525553,0.63427541,0.33589146,0.63340239
0.753982,0.240000,0.44992308,0.51724138,0.80364685,0.31164722,0.78632197,0.23991030,0.68913719,0.17392158,0.52690063,0.14082347,0.32904591,0.15723600,0.12789438,0.21141392,-0.05221082,0.27965154,-0.19887423,0.34551227,-0.30961150,0.40180576,-0.38773756,0.44703738,-0.43890052,0.48232843,-0.46900909,0.50963835,-0.48328591,0.53093704,-0.48598182,0.54790025,-0.48040333,0.56184662,-0.43055601,0.59735779,-0.27853904,0.63798874,-0.10216640,0.65529137,0.04889306,0.65781199,0.15972789,0.65372817,0.23472913,0.64774884,0.28329309,0.64198764,0.31390385,0.63719864,0.33284219,0.63351686,0.34442446,0.63081523,0.35151746,0.62886345,0.35597329,0.62739859,0.35893104,0.62616102,0.36101059,0.62492131,0.36243451,0.62351014
0.816814,0.260000,0.37648728,0.48275862,0.76408108,0.35202605,0.74730335,0.27718512,0.64925200,0.20498637,0.48586428,0.16468508,0.28853599,0.17536258,0.09077862,0.22629786,-0.08337342,0.29265036,-0.22278655,0.35684661,-0.32631158,0.41135706,-0.39818230,0.45474854,-0.44448596,0.48827155,-0.47122174,0.51396807,-0.48350714,0.53383466,-0.48540341,0.54953676,-0.48000718,0.56236406,-0.42504036,0.59981632,-0.25338640,0.64149011,-0.06215481,0.65615424,0.09268189,0.65548221,0.20046828,0.64902965,0.27037241,0.64156558,0.31424189,0.63492086,0.34136489,0.62959155,0.35807935,0.62553888,0.36850145,0.62252783,0.37524452,0.62026175,0.37992313,0.61843611,0.38347013,0.61676528,0.38632674,0.61500579,0.38855601,0.61298715
0.879646,0.280000,0.30225583,0.48275862,0.72038996,0.39234964,0.70409923,0.31503834,0.60568238,0.23714053,0.44215284,0.19001430,0.24664559,0.19502294,0.05351174,0.24239013,-0.11381650,0.30640409,-0.24556388,0.36854872,-0.34183858,0.42101598,-0.40764527,0.46242505,-0.44937287,0.49412253,-0.47301556,0.51819996,-0.48353203,0.53665565,-0.48477061,0.55112823,-0.47961329,0.56286797,-0.41830931,0.60262924,-0.22349172,0.64495867,-0.01738106,0.65618650,0.13891391,0.65201457,0.24162002,0.64325638,0.30535059,0.63448430,0.34414436,0.62712558,0.36775539,0.62138407,0.38236392,0.61704514,0.39177723,0.61377215,0.39830791,0.61120872,0.40331643,0.60901390,0.40752638,0.60687951,0.41120237,0.60455051,0.41425070,0.60185742
0.942478,0.300000,0.22818002,0.44827586,0.67265675,0.43198098,0.65677696,0.35286997,0.55855267,0.26989095,0.39598179,0.21643986,0.20364285,0.21596533,0.01633654,0.25953252,-0.14337925,0.32081023,-0.26713592,0.38055538,-0.35618765,0.43074987,-0.41615345,0.47005558,-0.45359400,0.49988241,-0.47441505,0.52234022,-0.48337301,0.53940665,-0.48408648,0.55267915,-0.47922109,0.56335983,-0.40993238,0.60587985,-0.18767707,0.64825078,0.03250095,0.65511956,0.18719410,0.64723064,0.28266419,0.63633082,0.33927806,0.62648423,0.37276669,0.61860597,0.39294807,0.61258947,0.40563202,0.60805142,0.41422271,0.60456421,0.42069663,0.60172043,0.42615087,0.59914852,0.43110071,0.59652155,0.43563796,0.59357528,0.43951580,0.59014332
